"Ligands","Receptors","source","Organism"
"AT2G26870","AT1G55180","STRING","Arabidopsis thaliana"
"AT2G26870","AT5G58670","STRING","Arabidopsis thaliana"
"AT2G26870","AT3G03530","STRING","Arabidopsis thaliana"
"AT2G26870","AT4G35790","STRING","Arabidopsis thaliana"
"AT2G26870","AT1G17250","STRING","Arabidopsis thaliana"
"AT2G27250","AT1G75820","STRING","Arabidopsis thaliana"
"AT2G27250","AT3G59420","STRING","Arabidopsis thaliana"
"AT2G27250","AT1G62360","STRING","Arabidopsis thaliana"
"AT2G27250","AT3G49670","STRING","Arabidopsis thaliana"
"AT2G27250","AT5G61480","STRING","Arabidopsis thaliana"
"AT2G27250","AT4G28490","STRING","Arabidopsis thaliana"
"AT2G27250","AT5G19280","STRING","Arabidopsis thaliana"
"AT2G27250","AT3G02130","STRING","Arabidopsis thaliana"
"AT2G27250","AT5G65710","STRING","Arabidopsis thaliana"
"AT2G27250","AT5G13290","STRING","Arabidopsis thaliana"
"AT2G27250","AT1G65380","STRING","Arabidopsis thaliana"
"AT2G27250","AT4G20270","STRING","Arabidopsis thaliana"
"AT2G27250","AT5G65700","STRING","Arabidopsis thaliana"
"AT2G27380","AT2G29940","STRING","Arabidopsis thaliana"
"AT2G28100","AT1G65590","STRING","Arabidopsis thaliana"
"AT2G28100","AT1G05590","STRING","Arabidopsis thaliana"
"AT2G28470","AT2G45470","STRING","Arabidopsis thaliana"
"AT2G28470","AT1G74360","STRING","Arabidopsis thaliana"
"AT2G28670","AT3G11550","STRING","Arabidopsis thaliana"
"AT2G28670","AT5G06200","STRING","Arabidopsis thaliana"
"AT2G28670","AT5G15290","STRING","Arabidopsis thaliana"
"AT2G28670","AT2G36100","STRING","Arabidopsis thaliana"
"AT2G28670","AT2G27370","STRING","Arabidopsis thaliana"
"AT2G29960","AT1G13980","STRING","Arabidopsis thaliana"
"AT2G30210","AT2G44790","STRING","Arabidopsis thaliana"
"AT2G30370","AT5G60880","STRING","Arabidopsis thaliana"
