Quality,Time,LR_pair,SignalStrength,n_samples,platform
gamma,0-0.5h,AT1G80133->AT1G07390,2.0775940311904026,16,rnaseq
gamma,0-0.5h,AT1G80170->AT4G26320,232.76305673272873,16,rnaseq
gamma,0-0.5h,AT1G80170->AT3G13520,364.0974068311116,16,rnaseq
gamma,0-0.5h,AT2G01270->AT1G24140,304.79799254030996,16,rnaseq
gamma,0-0.5h,AT2G01270->AT2G45040,245.23762523279888,16,rnaseq
gamma,0-0.5h,AT2G01270->AT1G59970,362.0004962113871,16,rnaseq
gamma,0-0.5h,AT2G01270->AT3G08710,394.9324032841879,16,rnaseq
gamma,0-0.5h,AT2G01270->AT1G70170,327.24478018463174,16,rnaseq
gamma,0-0.5h,AT2G01270->AT4G16640,221.91868672140993,16,rnaseq
gamma,0-0.5h,AT2G02100->AT3G11660,411.4290733704922,16,rnaseq
gamma,0-0.5h,AT2G02130->AT3G24620,9.830279853311758,16,rnaseq
gamma,0-0.5h,AT2G04025->AT4G26540,260.2122532916811,16,rnaseq
gamma,0-0.5h,AT2G04160->AT4G15630,398.8974577170659,16,rnaseq
gamma,0-0.5h,AT2G04160->AT4G15620,356.8231002787474,16,rnaseq
gamma,0-0.5h,AT2G05520->AT1G21250,376.67462616889316,16,rnaseq
gamma,0-0.5h,AT2G05520->AT5G19280,423.9864071284324,16,rnaseq
gamma,0-0.5h,AT2G05920->AT1G70410,463.81053792122634,16,rnaseq
gamma,0-0.5h,AT2G06850->AT5G44130,460.84064881322166,16,rnaseq
gamma,0-0.5h,AT2G06850->AT4G12730,476.6197646437923,16,rnaseq
